Category,Subcategory,Category_id,Subcategory_id,Links
Power Divider,Power Divider,32,69,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPower%2BDividers%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Rotary Joint,Rotary Joint,35,75,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DRotary%2BJoints%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Switch,Electromechanical Switch,36,33,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPIN%2BDiode%2BSwitches%26Rfacswpinstd99spec7%3DGaN%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2BIsolation%2BSwitches%26sort%3Dy%26initial_sort%3Dselect%3AASC%26res_per_page%3D48%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26keywords%3Drepeatability%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DPIN%2BDiode%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Switch,36,76,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DElectromechanical%2BRelay%2BSwitches%26Rfacswelm99conntermsubtype%3DSurface%2BMount%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,USB Switch,36,87,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DHigh%2BIsolation%2BUSB%2BSwitches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Electromechanical%2520Relay%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Switch,Waveguide Switch,36,111,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520PIN%2520Diode%2520Switches%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Load,Load,22,125,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DTerminations%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Load,Waveguide Load,22,107,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2BTerminations%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
,,,,
Waveguide,Waveguide,41,96,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DWaveguide%2520Transitions%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
Waveguide,Flexible Waveguide,41,38,https://www.fairviewmicrowave.com/nsearchhandler.ashx?wrapperPageQuery=Category%3DFlexible%2520Waveguides%26sort%3Dy%26view_type%3Dtable&requested_fields=all&iDisplayLength=100
